DAUID,Population,Employment rate,Area,Total - Structural type of dwelling
35204345,618,56.4,69350.16325228353,200.0
35204346,903,61.3,37371.992094822424,355.0
35204347,1890,58.4,132066.3309994819,610.0
35204348,2041,62.5,407240.8700144865,715.0
35204349,542,56.3,122013.2155827531,175.0
35204350,475,74.7,119764.48918878598,160.0
35204351,2101,57.0,167767.90238417182,730.0
35204352,1601,53.6,210882.99923929304,550.0
35204353,2090,54.4,138744.57796411985,650.0
35204354,1086,56.3,102784.33501441615,555.0
35204355,2635,57.9,258340.4839558163,940.0
35204356,714,67.6,197512.21283384608,310.0
35204357,550,61.8,48060.471100720024,140.0
35204358,694,61.2,39919.9814374619,230.0
35204359,1217,50.3,648724.908321485,390.0
35204360,936,52.7,918083.1329451205,430.0
35204361,470,50.0,122851.44829925025,170.0
35204362,466,62.7,115817.97196903006,170.0
35204363,541,64.7,779902.9905366693,180.0
35204364,923,55.7,265173.0981569193,305.0
35204365,521,72.2,119439.25319697095,160.0
35204366,542,40.0,255563.43964375305,335.0
35204367,4534,49.8,149803.35604929723,1665.0
35204368,2377,55.8,194729.56319522043,900.0
35204369,394,58.7,77729.19610711535,170.0
35204370,1516,54.0,43689.39960849217,560.0
35204371,3565,60.5,5756.567551046195,1285.0
35204372,305,59.6,79382.50266648395,145.0
35204373,1806,60.9,947090.2084877648,685.0
35204374,578,60.8,134485.14850595177,200.0
35204375,544,57.1,181850.52506592253,195.0
35204376,495,61.5,104608.81072405167,145.0
35204377,448,55.7,184054.5832901775,165.0
35204378,522,53.0,150299.25897673293,155.0
35204379,424,48.6,280440.1337825702,145.0
35204380,2534,78.5,83804.76914239704,1585.0
35204381,901,75.7,37712.60502115287,610.0
35204382,1603,71.6,70880.76833918289,1050.0
35204383,747,71.2,136679.6707168171,345.0
35204384,752,71.7,35345.75261449356,485.0
35204385,614,68.3,82781.82340580116,250.0
35204386,696,71.3,97974.94597316749,280.0
35204387,549,66.0,139387.2289429314,320.0
35204388,508,68.9,101675.98478629865,210.0
35204389,690,57.8,95399.6389345284,355.0
35204390,1035,71.1,28164.08052619816,750.0
35204391,901,34.0,181317.39836099854,315.0
35204392,446,71.4,68937.26414053669,185.0
35204393,556,47.6,180461.1367768926,160.0
35204394,518,43.0,188290.513711305,180.0
35204395,660,57.8,178590.89438588615,215.0
35204396,1043,55.0,290762.2002596107,385.0
35204397,1102,63.1,179070.89507218398,410.0
35204398,579,50.0,84787.06776759097,200.0
35204399,911,54.1,227758.61520637225,355.0
35204400,504,50.6,187503.98509915726,160.0
35204401,1472,50.5,81464.80919641713,520.0
35204402,2035,50.8,346198.9594696456,650.0
35204403,551,63.4,119529.68028856312,215.0
35204404,505,64.6,96975.57303090593,185.0
35204405,440,56.9,104823.35969379754,145.0
35204406,495,70.9,56480.90409296868,130.0
35204407,528,53.7,78050.94565633613,175.0
35204408,607,56.1,113956.68701878429,190.0
35204409,384,58.6,63383.11500195505,150.0
35204410,941,68.9,184660.26433263233,470.0
35204411,594,34.4,45373.935015848656,340.0
35204412,1030,71.1,204693.44894821316,350.0
35204413,918,54.2,33883.07131896085,320.0
35204414,1107,46.7,76163.14980200602,725.0
35204415,788,54.2,50226.32807595839,485.0
35204416,360,43.3,104765.26188387192,125.0
35204417,411,56.5,96244.02996031745,155.0
35204418,293,77.1,69004.33098830163,105.0
35204419,455,66.7,136240.25322829426,170.0
35204420,479,69.2,93715.87236773872,180.0
35204421,536,67.4,174575.44041625244,200.0
35204422,499,65.9,129046.44804562087,180.0
35204423,547,63.2,92860.06317567657,210.0
35204424,702,63.1,202406.51828485233,295.0
35204425,498,57.0,38130.703613566744,195.0
35204426,2486,54.5,182321.78641422914,1105.0
35204427,850,61.9,90247.29001337326,375.0
35204428,2814,60.1,1504015.0146191411,980.0
35204429,563,63.2,175735.18261032802,220.0
35204430,924,61.1,54288.59320256115,360.0
35204431,602,63.8,438000.79866085725,230.0
35204432,412,62.9,42545.8736931824,170.0
35204433,498,50.0,183055.9699972277,180.0
35204434,510,56.7,156843.12757614363,190.0
35204435,1047,63.1,269962.16493363056,260.0
35204436,1629,57.9,62761.01573138667,670.0
35204437,602,62.0,170139.6993085069,205.0
35204438,605,58.4,84545.37146666423,170.0
35204439,699,69.2,56876.0561840255,180.0
35204440,492,62.2,129128.24106189604,165.0
35204441,513,62.4,112351.0897662112,185.0
35204442,451,72.2,109388.44247566393,150.0
35204443,456,64.9,58607.24336131778,155.0
35204444,442,76.4,202444.57828245457,160.0
35204445,422,67.2,61333.69277178443,165.0
35204446,689,54.8,27853.17496353787,275.0
35204447,347,50.0,66436.82851020162,125.0
35204448,680,51.5,72280.29765068069,280.0
35204449,345,70.2,60536.96024484569,135.0
35204450,392,58.1,69636.50554134381,150.0
35204451,425,55.9,59610.081918226206,165.0
35204452,521,66.2,59467.983679137804,175.0
35204453,900,50.7,235218.57202409575,325.0
35204454,2964,59.1,515595.1311211764,1130.0
35204455,746,62.8,47751.71801255089,320.0
35204456,1090,57.9,143667.90062611547,435.0
35204457,497,42.5,166567.27503564034,185.0
35204458,1496,63.4,264386.08738414716,565.0
35204459,1910,64.4,132256.86734031004,580.0
35204460,505,54.7,996219.269214534,185.0
35204461,449,59.8,75842.90418235757,180.0
35204462,501,65.9,58484.8288980472,200.0
35204463,580,58.1,75226.3023037851,230.0
35204464,2880,57.7,191680.81538080767,1315.0
35204465,751,70.8,180664.7701132632,310.0
35204466,1623,76.4,36517.00089008535,1015.0
35204467,1090,57.6,32791.383426824286,770.0
35204468,1270,65.0,53643.35171506538,890.0
35204469,1494,76.0,74934.60143204578,850.0
35204470,2329,70.0,50567.02014105155,1505.0
35204471,619,61.9,419162.18148573494,145.0
35204472,955,65.7,63459.12605381417,205.0
35204473,477,63.6,64123.25713143502,105.0
35204474,1068,68.8,1012609.2732624147,360.0
35204475,618,63.1,55803.53935722104,165.0
35204476,551,56.2,36905.72337837672,120.0
35204477,534,62.4,54817.00308009953,130.0
35204478,905,78.5,2872709.771220272,210.0
35204479,659,,12772936.342844697,5.0
35204480,933,50.4,98830.93749946279,325.0
